inspection_id,restaurant_id,inspection_type,date,result,score,inspector_id,notes,pass
1,144,Complaint,2024-02-23,Pass,78,INSP9524,Inspection notes for inspection 1,True
2,542,Routine,2025-01-06,Fail,61,INSP1460,Inspection notes for inspection 2,False
3,718,License,2017-04-15,Pass,83,INSP3819,Inspection notes for inspection 3,True
4,335,Routine,2020-02-21,Fail,73,INSP1113,Inspection notes for inspection 4,False
5,519,Follow-up,2018-12-06,Fail,12,INSP5688,Inspection notes for inspection 5,False
6,275,Follow-up,2021-10-30,Pass w/ Conditions,50,INSP2176,Inspection notes for inspection 6,True
7,405,Routine,2016-05-18,Pass,87,INSP5972,Inspection notes for inspection 7,True
8,804,License,2019-03-21,Pass w/ Conditions,25,INSP6994,Inspection notes for inspection 8,True
9,206,Follow-up,2016-01-04,Pass w/ Conditions,10,INSP3024,Inspection notes for inspection 9,True
10,138,Follow-up,2018-04-14,Pass,13,INSP3445,Inspection notes for inspection 10,True
11,817,Complaint,2020-11-18,Pass,84,INSP3469,Inspection notes for inspection 11,True
12,342,Routine,2023-01-14,Pass,79,INSP6309,Inspection notes for inspection 12,True
13,784,Routine,2021-01-08,Pass,85,INSP6685,Inspection notes for inspection 13,True
14,530,Routine,2019-07-14,Pass,85,INSP7869,Inspection notes for inspection 14,True
15,593,Routine,2018-08-18,Pass,75,INSP6121,Inspection notes for inspection 15,True
16,153,Routine,2017-03-16,Pass,61,INSP8131,Inspection notes for inspection 16,True
17,392,License,2016-09-18,Pass,47,INSP9169,Inspection notes for inspection 17,True
18,822,Routine,2016-07-10,Pass w/ Conditions,70,INSP6564,Inspection notes for inspection 18,True
19,793,Routine,2022-11-20,Fail,100,INSP8013,Inspection notes for inspection 19,False
20,442,License,2016-06-23,Pass w/ Conditions,84,INSP4711,Inspection notes for inspection 20,True
21,683,Follow-up,2023-09-06,Pass w/ Conditions,28,INSP7631,Inspection notes for inspection 21,True
22,373,Follow-up,2022-06-04,Pass,70,INSP7363,Inspection notes for inspection 22,True
23,899,Routine,2022-02-24,Fail,17,INSP3419,Inspection notes for inspection 23,False
24,534,Routine,2018-07-06,Fail,12,INSP5868,Inspection notes for inspection 24,False
25,22,License,2016-10-31,Fail,20,INSP7117,Inspection notes for inspection 25,False
26,821,Complaint,2021-05-21,Pass w/ Conditions,68,INSP6134,Inspection notes for inspection 26,True
27,735,Complaint,2020-09-02,Pass w/ Conditions,6,INSP3118,Inspection notes for inspection 27,True
28,502,Complaint,2020-09-26,Fail,41,INSP4265,Inspection notes for inspection 28,False
29,565,License,2015-09-16,Pass w/ Conditions,98,INSP4253,Inspection notes for inspection 29,True
30,830,Routine,2019-11-04,Pass w/ Conditions,11,INSP3537,Inspection notes for inspection 30,True
31,837,Complaint,2018-01-02,Pass w/ Conditions,60,INSP3923,Inspection notes for inspection 31,True
32,176,Routine,2016-08-17,Pass,26,INSP1490,Inspection notes for inspection 32,True
33,961,Follow-up,2023-02-23,Pass w/ Conditions,15,INSP6909,Inspection notes for inspection 33,True
34,824,License,2020-11-27,Fail,91,INSP9591,Inspection notes for inspection 34,False
35,397,License,2021-02-20,Pass w/ Conditions,2,INSP7984,Inspection notes for inspection 35,True
36,928,Follow-up,2018-01-07,Pass w/ Conditions,97,INSP6097,Inspection notes for inspection 36,True
37,919,Routine,2018-05-14,Pass,41,INSP2269,Inspection notes for inspection 37,True
38,979,Follow-up,2023-07-31,Fail,0,INSP2427,Inspection notes for inspection 38,False
39,300,License,2021-12-09,Fail,42,INSP7752,Inspection notes for inspection 39,False
40,270,License,2023-01-02,Pass,43,INSP6643,Inspection notes for inspection 40,True
41,560,Complaint,2023-04-01,Fail,41,INSP9239,Inspection notes for inspection 41,False
42,371,License,2024-08-23,Pass w/ Conditions,24,INSP8143,Inspection notes for inspection 42,True
43,997,Routine,2020-04-03,Pass,78,INSP9399,Inspection notes for inspection 43,True
44,431,Routine,2017-07-23,Pass w/ Conditions,55,INSP1385,Inspection notes for inspection 44,True
45,386,Complaint,2025-01-21,Pass w/ Conditions,14,INSP6251,Inspection notes for inspection 45,True
46,445,Routine,2023-11-11,Pass w/ Conditions,17,INSP9494,Inspection notes for inspection 46,True
47,337,Complaint,2017-10-25,Fail,50,INSP6758,Inspection notes for inspection 47,False
48,126,Routine,2020-12-30,Pass,85,INSP4546,Inspection notes for inspection 48,True
49,572,Complaint,2024-11-25,Pass w/ Conditions,9,INSP9783,Inspection notes for inspection 49,True
50,811,Complaint,2024-05-03,Pass w/ Conditions,66,INSP6433,Inspection notes for inspection 50,True
51,2,License,2019-07-01,Pass,36,INSP8811,Inspection notes for inspection 51,True
52,601,License,2020-01-05,Fail,48,INSP8163,Inspection notes for inspection 52,False
53,202,Complaint,2017-11-17,Fail,82,INSP5983,Inspection notes for inspection 53,False
54,754,Routine,2019-08-07,Fail,81,INSP4293,Inspection notes for inspection 54,False
55,779,Complaint,2022-12-28,Pass w/ Conditions,3,INSP9760,Inspection notes for inspection 55,True
56,825,License,2017-03-28,Pass,6,INSP4238,Inspection notes for inspection 56,True
57,971,License,2017-04-24,Fail,3,INSP3138,Inspection notes for inspection 57,False
58,802,License,2021-02-01,Fail,39,INSP3976,Inspection notes for inspection 58,False
59,277,Routine,2025-03-26,Fail,16,INSP1109,Inspection notes for inspection 59,False
60,669,Routine,2016-02-19,Fail,74,INSP2085,Inspection notes for inspection 60,False
61,643,Routine,2021-02-15,Fail,36,INSP9478,Inspection notes for inspection 61,False
62,860,Routine,2021-06-04,Pass,0,INSP8348,Inspection notes for inspection 62,True
63,827,Follow-up,2021-08-09,Pass,80,INSP3412,Inspection notes for inspection 63,True
64,150,Follow-up,2023-07-19,Fail,92,INSP2708,Inspection notes for inspection 64,False
65,354,Complaint,2020-10-18,Fail,65,INSP6462,Inspection notes for inspection 65,False
66,171,Follow-up,2016-10-05,Fail,57,INSP8158,Inspection notes for inspection 66,False
67,848,Complaint,2016-04-01,Pass,96,INSP3662,Inspection notes for inspection 67,True
68,905,Follow-up,2017-12-10,Pass,73,INSP2780,Inspection notes for inspection 68,True
69,144,Complaint,2022-09-10,Pass w/ Conditions,72,INSP7806,Inspection notes for inspection 69,True
70,891,License,2019-04-16,Pass,100,INSP4527,Inspection notes for inspection 70,True
71,332,Complaint,2021-12-28,Pass w/ Conditions,45,INSP8529,Inspection notes for inspection 71,True
72,898,Follow-up,2016-07-06,Pass,39,INSP2823,Inspection notes for inspection 72,True
73,556,Routine,2024-10-30,Pass,27,INSP5202,Inspection notes for inspection 73,True
74,76,Routine,2020-03-05,Fail,12,INSP1775,Inspection notes for inspection 74,False
75,15,Routine,2021-01-29,Pass w/ Conditions,10,INSP3457,Inspection notes for inspection 75,True
76,520,Follow-up,2019-06-08,Pass w/ Conditions,58,INSP9057,Inspection notes for inspection 76,True
77,343,Complaint,2018-06-16,Pass,34,INSP9964,Inspection notes for inspection 77,True
78,610,Routine,2024-07-23,Pass w/ Conditions,49,INSP6400,Inspection notes for inspection 78,True
79,264,Complaint,2021-12-06,Fail,90,INSP6059,Inspection notes for inspection 79,False
80,335,Routine,2023-08-03,Pass w/ Conditions,21,INSP5472,Inspection notes for inspection 80,True
81,554,Routine,2023-10-24,Pass w/ Conditions,63,INSP4208,Inspection notes for inspection 81,True
82,309,License,2022-06-10,Fail,90,INSP7096,Inspection notes for inspection 82,False
83,892,License,2016-07-21,Fail,77,INSP5798,Inspection notes for inspection 83,False
84,78,Routine,2024-09-27,Fail,40,INSP2962,Inspection notes for inspection 84,False
85,709,License,2022-09-09,Pass w/ Conditions,10,INSP3523,Inspection notes for inspection 85,True
