restaurant_id,name,type,risk_level,address,city,state,zip,license_number,opening_date,capacity,has_delivery,has_outdoor_seating,restaurant_age_years
1,Restaurant_1,Bakery,Risk 2 (Medium),7354 Main St,Chicago,IL,60645,L3815344,2025-01-15,194,0,0,0
2,Restaurant_2,Food Truck,Risk 2 (Medium),6879 Main St,Chicago,IL,60665,L7301024,2023-01-15,110,0,0,2
3,Restaurant_3,Cafe,Risk 3 (Low),3172 Main St,Chicago,IL,60686,L6465616,2020-05-24,130,0,1,5
4,Restaurant_4,Restaurant,Risk 3 (Low),8228 Main St,Chicago,IL,60691,L9405631,2018-11-08,192,0,0,6
5,Restaurant_5,Bakery,Risk 1 (High),7338 Main St,Chicago,IL,60679,L4959566,2020-03-15,59,1,1,5
6,Restaurant_6,Grocery Store,Risk 3 (Low),911 Main St,Chicago,IL,60675,L8964361,2022-08-14,81,1,1,2
7,Restaurant_7,Restaurant,Risk 2 (Medium),3783 Main St,Chicago,IL,60655,L5854951,2020-01-21,108,0,1,5
8,Restaurant_8,Grocery Store,Risk 1 (High),2076 Main St,Chicago,IL,60619,L7028066,2018-05-15,49,0,1,7
9,Restaurant_9,Bakery,Risk 3 (Low),3537 Main St,Chicago,IL,60662,L5382587,2024-06-24,69,1,0,0
10,Restaurant_10,Restaurant,Risk 2 (Medium),5761 Main St,Chicago,IL,60603,L4875872,2020-11-20,20,0,0,4
11,Restaurant_11,Cafe,Risk 1 (High),1167 Main St,Chicago,IL,60608,L9800309,2017-10-21,44,1,0,7
12,Restaurant_12,Cafe,Risk 1 (High),5080 Main St,Chicago,IL,60632,L5362932,2016-12-10,52,0,1,8
13,Restaurant_13,Grocery Store,Risk 1 (High),7884 Main St,Chicago,IL,60606,L5357541,2017-02-18,180,0,0,8
14,Restaurant_14,Grocery Store,Risk 3 (Low),2027 Main St,Chicago,IL,60662,L9775504,2022-04-25,55,1,0,3
15,Restaurant_15,Bakery,Risk 2 (Medium),9954 Main St,Chicago,IL,60668,L6376360,2021-12-04,171,1,1,3
16,Restaurant_16,Cafe,Risk 2 (Medium),1156 Main St,Chicago,IL,60615,L4162986,2025-02-22,111,1,0,0
17,Restaurant_17,Bakery,Risk 1 (High),5349 Main St,Chicago,IL,60679,L4828577,2017-07-27,25,0,1,7
18,Restaurant_18,Bakery,Risk 1 (High),6347 Main St,Chicago,IL,60626,L9781969,2018-05-09,41,1,1,7
