violation_id,restaurant_id,inspection_id,violation_type,severity,description,date,corrected,correction_date,days_to_correction
1,366,644,Cross Contamination,Critical,Violation description for 1,2024-12-04,0,2025-05-01,148.0
2,605,6470,Cross Contamination,Critical,Violation description for 2,2024-06-17,0,,
3,523,7767,Documentation,Minor,Violation description for 3,2024-12-07,0,2025-04-30,144.0
4,900,7696,Food Temperature,Critical,Violation description for 4,2025-03-13,0,2025-05-21,69.0
5,42,3023,Food Storage,Critical,Violation description for 5,2025-04-22,1,2025-05-20,28.0
6,151,9192,Pest Control,Minor,Violation description for 6,2024-09-21,0,2025-05-07,228.0
7,554,6395,Sanitation,Critical,Violation description for 7,2025-04-30,1,2025-05-07,7.0
8,127,9961,Sanitation,Minor,Violation description for 8,2025-04-26,1,2025-05-10,14.0
9,914,8671,Equipment Maintenance,Serious,Violation description for 9,2025-01-20,1,2025-05-24,124.0
10,581,4831,Food Storage,Minor,Violation description for 10,2025-05-06,1,2025-05-18,12.0
11,921,7324,Pest Control,Serious,Violation description for 11,2025-03-23,0,2025-05-25,63.0
12,506,8265,Food Storage,Minor,Violation description for 12,2025-02-20,1,2025-05-10,79.0
13,445,5594,Sanitation,Serious,Violation description for 13,2024-06-27,0,2025-05-25,332.0
14,84,7182,Food Storage,Minor,Violation description for 14,2024-08-06,0,2025-04-30,267.0
15,706,1967,Cross Contamination,Minor,Violation description for 15,2025-04-07,0,,
16,232,118,Equipment Maintenance,Critical,Violation description for 16,2024-12-27,0,2025-05-19,143.0
17,896,3032,Employee Hygiene,Minor,Violation description for 17,2025-02-16,0,,
18,200,2325,Pest Control,Critical,Violation description for 18,2024-11-21,0,2025-05-16,176.0
19,983,8319,Sanitation,Serious,Violation description for 19,2025-03-21,0,2025-05-18,58.0
20,511,8321,Food Temperature,Critical,Violation description for 20,2024-10-15,0,2025-05-20,217.0
21,219,6551,Food Temperature,Serious,Violation description for 21,2024-11-25,0,,
22,754,8084,Pest Control,Minor,Violation description for 22,2025-02-24,0,,
23,712,5329,Employee Hygiene,Minor,Violation description for 23,2024-06-19,0,2025-05-04,319.0
24,152,3034,Documentation,Serious,Violation description for 24,2024-08-14,0,2025-04-30,259.0
25,788,1304,Documentation,Critical,Violation description for 25,2025-02-08,0,2025-05-15,96.0
26,452,3034,Food Temperature,Minor,Violation description for 26,2024-10-15,1,2025-05-18,215.0
27,768,4775,Documentation,Serious,Violation description for 27,2024-07-17,1,2025-05-04,291.0
28,9,5306,Cross Contamination,Serious,Violation description for 28,2024-12-15,0,2025-05-09,145.0
29,450,1979,Employee Hygiene,Minor,Violation description for 29,2025-05-09,1,2025-05-15,6.0
30,856,5303,Cross Contamination,Serious,Violation description for 30,2025-01-29,0,2025-05-24,115.0
31,901,1526,Employee Hygiene,Critical,Violation description for 31,2025-04-10,1,,
32,626,6152,Equipment Maintenance,Minor,Violation description for 32,2024-11-13,1,2025-05-22,190.0
33,640,3428,Equipment Maintenance,Critical,Violation description for 33,2024-08-21,0,2025-05-05,257.0
34,52,8013,Food Storage,Minor,Violation description for 34,2024-12-06,0,2025-05-02,147.0
35,112,7227,Equipment Maintenance,Serious,Violation description for 35,2024-12-22,0,2025-05-25,154.0
36,47,8958,Equipment Maintenance,Critical,Violation description for 36,2024-06-01,0,2025-05-26,359.0
37,408,3565,Sanitation,Serious,Violation description for 37,2024-12-26,0,2025-05-16,141.0
38,583,7529,Equipment Maintenance,Critical,Violation description for 38,2025-01-24,0,2025-05-29,125.0
39,246,334,Equipment Maintenance,Critical,Violation description for 39,2024-12-26,1,,
40,217,8767,Cross Contamination,Minor,Violation description for 40,2025-02-03,1,2025-05-17,103.0
41,94,3962,Equipment Maintenance,Minor,Violation description for 41,2025-01-30,0,2025-05-27,117.0
42,236,9197,Employee Hygiene,Serious,Violation description for 42,2025-03-17,1,,
43,675,3447,Documentation,Minor,Violation description for 43,2024-09-14,0,,
44,857,574,Pest Control,Critical,Violation description for 44,2024-07-02,0,2025-05-23,325.0
45,729,3907,Documentation,Minor,Violation description for 45,2024-07-07,1,,
46,333,9821,Employee Hygiene,Critical,Violation description for 46,2024-08-15,1,2025-05-24,282.0
47,481,5969,Food Storage,Minor,Violation description for 47,2024-08-06,0,2025-05-03,270.0
48,57,9511,Cross Contamination,Critical,Violation description for 48,2024-07-26,1,2025-05-02,280.0
49,641,1959,Equipment Maintenance,Serious,Violation description for 49,2024-08-09,0,,
50,260,5254,Food Temperature,Serious,Violation description for 50,2024-08-15,1,,
51,899,6311,Cross Contamination,Minor,Violation description for 51,2024-12-11,0,,
52,408,7815,Sanitation,Critical,Violation description for 52,2024-07-12,1,2025-05-19,311.0
53,968,5827,Pest Control,Critical,Violation description for 53,2024-08-10,0,2025-05-04,267.0
54,317,3933,Food Storage,Critical,Violation description for 54,2024-12-29,1,2025-05-05,127.0
55,325,2086,Employee Hygiene,Minor,Violation description for 55,2024-11-22,0,2025-05-23,182.0
56,424,1489,Sanitation,Minor,Violation description for 56,2024-12-27,0,2025-05-05,129.0
57,625,6026,Employee Hygiene,Critical,Violation description for 57,2025-02-27,0,2025-05-24,86.0
58,509,6289,Equipment Maintenance,Critical,Violation description for 58,2025-01-04,0,,
